amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700076,CHITARAQUE,ALMA-OXIGENO,137,ALMA - OXÍGENO,19,16,0.0,0.0
0700077,CHIVATA,ALMA-OXIGENO,137,ALMA - OXÍGENO,17,15,0.0,0.0
0700078,CHIVOR,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,5,0.0,0.0
0700079,DUITAMA,ALMA-OXIGENO,137,ALMA - OXÍGENO,375,304,0.0,0.0
0700082,EL COCUY,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,5,0.0,0.0
0700085,EL ESPINO,ALMA-OXIGENO,137,ALMA - OXÍGENO,8,6,0.0,0.0
0700088,FIRAVITOBA,ALMA-OXIGENO,137,ALMA - OXÍGENO,19,16,0.0,0.0
0700091,FLORESTA,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,5,0.0,0.0
0700094,GACHANTIVA,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,7,0.0,0.0
0700097,GAMEZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,21,18,0.0,0.0
0700100,GARAGOA,ALMA-OXIGENO,137,ALMA - OXÍGENO,45,36,0.0,0.0
0700103,GUACAMAYAS,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,3,0.0,0.0
0700106,GUATEQUE,ALMA-OXIGENO,137,ALMA - OXÍGENO,36,28,0.0,0.0
0700109,GUAYATA,ALMA-OXIGENO,137,ALMA - OXÍGENO,13,10,0.0,0.0
0700112,GUICAN,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,8,0.0,0.0
0700118,IZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,2,2,0.0,0.0
0700121,JENESANO,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,15,0.0,0.0
0700124,JERICO,ALMA-OXIGENO,137,ALMA - OXÍGENO,12,10,0.0,0.0
0700127,LABRANZAGRANDE,ALMA-OXIGENO,137,ALMA - OXÍGENO,3,3,0.0,0.0
0700130,LA CAPILLA,ALMA-OXIGENO,137,ALMA - OXÍGENO,8,8,0.0,0.0
0700136,LA UVITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,6,6,0.0,0.0
0700137,LA VICTORIA,ALMA-OXIGENO,137,ALMA - OXÍGENO,1,1,0.0,0.0
0700139,VILLA DE LEIVA,ALMA-OXIGENO,137,ALMA - OXÍGENO,71,57,0.0,0.0
0700142,MACANAL,ALMA-OXIGENO,137,ALMA - OXÍGENO,10,8,0.0,0.0
0700148,MARIPI,ALMA-OXIGENO,137,ALMA - OXÍGENO,18,17,0.0,0.0
0700151,MIRAFLORES,ALMA-OXIGENO,137,ALMA - OXÍGENO,23,20,0.0,0.0
0700154,MONGUA,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,15,0.0,0.0
0700157,MONGUI,ALMA-OXIGENO,137,ALMA - OXÍGENO,13,8,0.0,0.0
0700160,MONIQUIRA,ALMA-OXIGENO,137,ALMA - OXÍGENO,83,69,0.0,0.0
0700161,MOTAVITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,21,15,0.0,0.0
0700163,MUZO,ALMA-OXIGENO,137,ALMA - OXÍGENO,29,26,0.0,0.0
0700166,NOBSA,ALMA-OXIGENO,137,ALMA - OXÍGENO,53,46,0.0,0.0
0700169,NUEVO COLON,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,13,0.0,0.0
0700173,OICATA,ALMA-OXIGENO,137,ALMA - OXÍGENO,12,11,0.0,0.0
0700176,OTANCHE,ALMA-OXIGENO,137,ALMA - OXÍGENO,27,25,0.0,0.0
0700178,PACHAVITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,7,7,0.0,0.0
0700179,PAEZ,ALMA-OXIGENO,137,ALMA - OXÍGENO,7,7,0.0,0.0
0700181,PAIPA,ALMA-OXIGENO,137,ALMA - OXÍGENO,97,80,0.0,0.0
0700184,PAJARITO,ALMA-OXIGENO,137,ALMA - OXÍGENO,11,10,0.0,0.0
0700187,PANQUEBA,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,5,0.0,0.0
0700190,PAUNA,ALMA-OXIGENO,137,ALMA - OXÍGENO,16,15,0.0,0.0
0700193,PAYA,ALMA-OXIGENO,137,ALMA - OXÍGENO,4,4,0.0,0.0
0700199,PAZ DE RIO,ALMA-OXIGENO,137,ALMA - OXÍGENO,8,8,0.0,0.0
0700202,PESCA,ALMA-OXIGENO,137,ALMA - OXÍGENO,27,27,0.0,0.0
